action;tote_batch_id;timestamp;location
batch-consolidate-end;batch-5;2022-11-08 06:46:47.133000;consolidation
tote-finished;296;2022-11-08 06:46:47.133000;consolidation
tote-finished;397;2022-11-08 06:46:51.007000;consolidation
add-to-batch_8;8;2022-11-08 06:46:51.533000;buffer
tote-finished;890;2022-11-08 06:46:56.842000;consolidation
add-to-batch_8;156;2022-11-08 06:46:58.864000;buffer
tote-finished;266;2022-11-08 06:47:03.123000;consolidation
add-to-batch_8;764;2022-11-08 06:47:07.967000;buffer
tote-finished;483;2022-11-08 06:47:08.474000;consolidation
tote-finished;165;2022-11-08 06:47:14.928000;consolidation
tote-finished;88;2022-11-08 06:47:22.331000;consolidation
batch-consolidate-end;batch-6;2022-11-08 06:47:28.997000;consolidation
tote-finished;485;2022-11-08 06:47:28.997000;consolidation
add-to-batch_8;476;2022-11-08 06:48:05.072000;buffer
batch-full;batch-8;2022-11-08 06:48:05.072000;buffer
batch-release;batch-8;2022-11-08 06:48:05.072000;buffer
batch-pick-start;batch-8;2022-11-08 06:48:05.072000;buffer
new-batch;batch-9;2022-11-08 06:48:30.375000;buffer
add-to-batch_9;473;2022-11-08 06:48:30.375000;buffer
add-to-batch_9;492;2022-11-08 06:48:45.357000;buffer
add-to-batch_9;921;2022-11-08 06:48:46.522000;buffer
add-to-batch_9;118;2022-11-08 06:49:32.050000;buffer
add-to-batch_9;137;2022-11-08 06:49:38.174000;buffer
batch-pick-end;batch-7;2022-11-08 06:49:39.688000;buffer
batch-consolidate-start;batch-7;2022-11-08 06:49:39.688000;consolidation
tote-finished;734;2022-11-08 06:49:44.745000;consolidation
tote-finished;662;2022-11-08 06:49:49.517000;consolidation
tote-finished;638;2022-11-08 06:49:54.352000;consolidation
tote-finished;689;2022-11-08 06:50:00.830000;consolidation
add-to-batch_9;206;2022-11-08 06:50:05.193000;buffer
tote-finished;666;2022-11-08 06:50:06.549000;consolidation
add-to-batch_9;928;2022-11-08 06:50:08.719000;buffer
tote-finished;833;2022-11-08 06:50:11.235000;consolidation
add-to-batch_9;792;2022-11-08 06:50:13.902000;buffer
tote-finished;659;2022-11-08 06:50:17.827000;consolidation
add-to-batch_9;68;2022-11-08 06:50:18.606000;buffer
tote-finished;916;2022-11-08 06:50:22.920000;consolidation
tote-finished;824;2022-11-08 06:50:27.559000;consolidation
